,haiku,colors,lines,syllables,total_syllables
15160,late winter sunshine / he flips a piece of heel / from the toaster,[],3,"(6, 7, 4)",17
15161,another sunrise / a chance to do the things / i could have done before,[],3,"(6, 7, 7)",20
15162,motel night / in the paper cup an inch / of sumi ink,[],3,"(3, 7, 4)",14
15163,winter tales / old applewood / burning blue,['blue'],3,"(3, 4, 3)",10
15164,back porch light / silence thickens / with snow,['snow'],3,"(3, 5, 2)",10
15165,a moody wind / teases the wattle / winter's end,[],3,"(4, 5, 3)",12
15166,an ant / at the foot / the mountain,[],3,"(2, 3, 3)",8
15167,rising sun / the fawn's bed of meadowsweet / unfolds from the dew,[],3,"(3, 7, 5)",15
15168,winter fog / an old man turns back / into a tree,[],3,"(3, 5, 4)",12
15169,my veins turn / a deeper blue / winter twilight,"['blue', 'twilight']",3,"(3, 4, 4)",11
15170,crepuscular rays / a lipizzan foal / begins to suckle,[],3,"(5, 5, 5)",15
15171,rippling pond / what's left / of his words,[],3,"(3, 2, 3)",8
15172,chrysalis / what will be / will be,[],3,"(3, 3, 2)",8
15173,california light / a swallow loops / between afternoon and dusk,['dusk'],3,"(5, 4, 7)",16
15174,crickets / the stars twinkling / in their rhythm,['rhythm'],3,"(2, 4, 3)",9
15175,horn / of a freight train bordering on / dream,[],3,"(1, 8, 1)",10
15176,things that can't be / shrinkwrapped / autumn moon,[],3,"(4, 3, 3)",10
15177,another / flying dream / wild orchids,[],3,"(3, 2, 3)",8
15178,black spider / clutching her egg sac / night wraps around the moon,['black'],3,"(3, 5, 6)",14
15179,faint gulf breeze / the jazz player settles / on a new curb,[],3,"(4, 5, 4)",13
15180,everyday walk / the air is full / of other places,[],3,"(5, 4, 5)",14
15181,anniversary / the stench / of chrysanthemums,[],3,"(5, 2, 5)",12
15182,a fox den / full of fallen leaves / the fading trail,[],3,"(3, 6, 4)",13
15183,housewarming / the ashes in the fireplace / resettle,[],3,"(4, 9, 3)",16
15184,last seen / by ancient kings / winter comet,[],3,"(2, 4, 4)",10
15185,three minute eggs / making the most of the time / that's left,[],3,"(5, 7, 2)",14
15186,small town / the dogs / on main street,[],3,"(2, 2, 3)",7
15187,nowhere left / for the needle to go / hunger moon,[],3,"(4, 6, 3)",13
15188,cajun christmas / a fiddler fills the room / with silent night,[],3,"(4, 6, 4)",14
15189,fresh snow / the warmth surrounding / your bones,[],3,"(2, 5, 3)",10
15190,new year's eve / after a few drinks / we promise to change,[],3,"(4, 5, 7)",16
15191,bitter cold / ladybirds cluster at the tips / of the pine,['pine'],3,"(3, 8, 3)",14
15192,the faint rattle / in my broken watch / winter,[],3,"(4, 5, 2)",11
15193,push mower / scents of mint lavender dill / sliced into grass,"['mint', 'lavender', 'grass']",3,"(3, 7, 5)",15
15194,heat shimmer / a heron drinks / from the horse trough,[],3,"(3, 4, 5)",12
15195,reunion trip / a raindrop squirms / up the windscreen,[],3,"(3, 4, 4)",11
15196,lush canopy / the symmetry of orchids / far from home,[],3,"(4, 7, 3)",14
15197,egret at dusk / looking for shapes / in the shadows,['dusk'],3,"(4, 5, 4)",13
15198,another dry day / the storm bird / keeps singing,[],3,"(5, 3, 3)",11
15199,the sweat cooling / under my straw hat / waterfall breeze,['straw'],3,"(4, 5, 5)",14
15200,bridging the gap / between leisure and sport / shady trees,[],3,"(4, 7, 3)",14
15201,slime mold / how to know this life / is the one worth living,[],3,"(3, 5, 7)",15
15202,winter burial / the resurrection / of old photos,[],3,"(4, 5, 4)",13
15203,a stalactite / of dried soap on the dispenser / flu season,[],3,"(5, 8, 3)",16
15204,vase of snapdragons / a log in the fireplace / flares,[],3,"(5, 8, 2)",15
15205,the planets aligning / i rearrange / my night,[],3,"(6, 4, 2)",12
15206,simmering milk / my baby sister's bonnet / feathered with frost,['milk'],3,"(4, 7, 5)",16
15207,snow on old snow / twilight slowly / swallows the room,"['snow', 'snow', 'twilight']",3,"(4, 4, 4)",12
15208,winter blues / the same orange liqueur / my father drank,['orange'],3,"(3, 7, 4)",14
15209,i'll have / what they are having / winter roses,[],3,"(2, 6, 4)",12
15210,spring morning / the baby sleepers / hanging on the balcony,[],3,"(3, 5, 7)",15
15211,over the rainbow / and back / to the metronome,[],3,"(5, 2, 6)",13
15212,a warm night / from the hill top / other hills,[],3,"(3, 4, 3)",10
15213,knowing the river's wide / only by its sound / night deepens,[],3,"(6, 5, 3)",14
15214,oceans with names / waves leaping over / one another,[],3,"(5, 6, 5)",16
15215,desert stars / i end all thought / of moderation,['desert'],3,"(3, 4, 5)",12
15216,shades of evening / through the shipwreck's ribs / the cries of a plover,[],3,"(6, 5, 6)",17
15217,slight breeze / the silent spin of / wooden wind chimes,[],3,"(3, 5, 5)",13
15218,lost in the woods / the woods / of my childhood,[],3,"(4, 2, 4)",10
15219,long stem daisies / i return for a moment / to the summer of love,[],3,"(4, 7, 6)",17
15220,open road / playing catch up / with the clouds,[],3,"(3, 3, 3)",9
15221,all thats left / a strand of seaweed / in the shower,['seaweed'],3,"(3, 5, 4)",12
15222,the broken binding / of my high school yearbook / new year's eve,[],3,"(5, 6, 4)",15
15223,mid january / ornament hooks still hide / in the carpet,[],3,"(4, 6, 4)",14
15224,at the bottom / of the kindling box / dad's hooch,[],3,"(4, 5, 2)",11
15225,snowdrifts / i shovel the froth / from my latte,[],3,"(2, 5, 4)",11
15226,white tailed deer / still building my trust / six years later,['white'],3,"(5, 5, 4)",14
15227,at the back of the cupboard / spices / from another millennium,[],3,"(7, 2, 7)",16
15228,the street / turns nameless / midnight snow,"['midnight', 'snow']",3,"(2, 4, 3)",9
15229,blizzard / the pleasure / of going nowhere,[],3,"(2, 4, 5)",11
15230,watching stars / i think of mice / and the crumbs they live on,[],3,"(3, 4, 6)",13
15231,solstice nightdreams of fingerlings / baked with salmon,['salmon'],2,"(9, 5)",14
15232,flower show / waiting my turn / to smell the roses,[],3,"(3, 4, 5)",12
15233,whipbird's call / the morning / cut in two,[],3,"(3, 3, 3)",9
15234,skinny dipping / open mouths / of trumpet vines,[],3,"(4, 3, 5)",12
15235,along the drip line / of century old redwoods / forget me nots,[],3,"(5, 7, 4)",16
15236,first summer days / my neighbor's navel / visible again,[],3,"(4, 5, 5)",14
15237,climbing the path / from the trout lake / pipe smoke,['smoke'],3,"(4, 4, 3)",11
15238,low tide / birds flock to the color / wet,[],3,"(2, 6, 1)",9
15239,childhood laughter / the taste of / field fresh corn,['corn'],3,"(4, 4, 3)",11
15240,hint of rain / she turns to me / in her sleep,[],3,"(3, 4, 3)",10
15241,autumn moon / the leaves on her windowsill / folding shut,[],3,"(3, 8, 3)",14
15242,the scent of wood fires in fog / i start the day,[],2,"(8, 4)",12
15243,smell of gasoline / stacked by the stump of the tree / the rest of the tree,[],3,"(6, 8, 5)",19
15244,new year's eve / to new year's day / the unlit candle,[],3,"(4, 4, 5)",13
15245,first snow flurries / the shape of the day / after retirement,['snow'],3,"(4, 6, 6)",16
15246,cold breezes / the grand canyon swallows / a sunrise photo,[],3,"(3, 6, 6)",15
15247,their cries / should mean something / twilight geese,['twilight'],3,"(2, 5, 4)",11
15248,tail up head under / how the wood duck / spends christmas,[],3,"(5, 4, 3)",12
15249,a new year / the garbage can's lid / frozen shut,[],3,"(3, 6, 3)",12
15250,snowflakes / stealthily the cat joins me / under the quilt,[],3,"(3, 7, 4)",14
15251,dune roses / denim softened / by clothesline sun,[],3,"(3, 5, 6)",14
15252,the day ends / as it begins / heron in the sun,[],3,"(3, 4, 5)",12
15253,twilight / the horse's silhouette / heads for the barn,[],3,"(2, 6, 4)",12
15254,when luxury / is a therm a rest pad / scent of pine,['pine'],3,"(4, 6, 3)",13
15255,no home / to come home to / star gazer lilies,[],3,"(2, 4, 5)",11
15256,no clock / in the post office / august afternoon,[],3,"(2, 6, 5)",13
15257,back porch swing / the little league umpire / retires his mask,[],3,"(3, 8, 5)",16
15258,august evening / the gentle light / of the hamm's beer sign,[],3,"(5, 4, 5)",14
15259,tonight's stars / how long will it take / for my light to reach them,[],3,"(3, 5, 6)",14
15260,purple dawn / the stillness of a crane hook / in the city port,"['purple', 'crane']",3,"(3, 8, 5)",16
15261,my rebellion / taped inside / a cardboard box,[],3,"(4, 4, 4)",12
15262,african hip hop / on a tin roof / the rainy season begins,[],3,"(5, 4, 7)",16
15263,the whiffling skeins / becoming individuals / becoming one,[],3,"(4, 7, 5)",16
15264,dead thistles / the feel of a key / in a rusty lock,['rusty'],3,"(3, 5, 5)",13
15265,a taste of apple wine / the deepening dusk / of river light,"['apple', 'dusk']",3,"(7, 5, 4)",16
15266,tai chi class / a turquoise damselfly / pauses with me,['turquoise'],3,"(3, 7, 4)",14
15267,homecoming / the frogs won't let me sleep / the moon won't let me sleep,[],3,"(4, 6, 6)",16
15268,wine party / everyone sipping / the waning moon,['wine'],3,"(3, 6, 4)",13
15269,autumn evening / the city wrapped / in rain,[],3,"(5, 5, 2)",12
15270,morning drizzle / so many umbrellas / left behind,[],3,"(4, 6, 3)",13
15271,snowmelt / the taste of a foot long / waterfall,[],3,"(2, 7, 3)",12
15272,beneath the street lights / the shapes the rain / makes of us,[],3,"(5, 5, 4)",14
15273,kindergarten quiet / first seedlings / in styrofoam cups,[],3,"(5, 3, 5)",13
15274,soap bubbles / how softly mother / bursts into laughter,[],3,"(3, 5, 5)",13
15275,long term parking / a nest with eggs / in the wheel well,[],3,"(4, 4, 4)",12
15276,spring night / everywhere the sounds / of falling water,['water'],3,"(2, 7, 5)",14
15277,spring wind / loosening my grip / on the handlebars,[],3,"(2, 5, 5)",12
15278,asthma / the tight whorl / of fiddleheads,[],3,"(2, 3, 4)",9
15279,spring blossoms / i slice the fruits / as father did,[],3,"(3, 5, 4)",12
15280,on each tip / of the three fingered cactus / snow,['snow'],3,"(3, 8, 1)",12
15281,steam rising / from the dog's pee / witching hour,[],3,"(3, 4, 3)",10
15282,winter time / the open woods where / once we listened for owls,[],3,"(3, 6, 7)",16
15283,valentine month / from her mouth to mine / fresh strawberries,[],3,"(5, 5, 4)",14
15284,penitence / an absence of color / connects the stars,[],3,"(4, 7, 4)",15
15285,winter dusk / old fingers remember / an old tune,['dusk'],3,"(3, 6, 3)",12
15286,depth of winter / a dying pigeon / flaps away my help,[],3,"(4, 5, 5)",14
15287,winter hawks / mother's silence / follows me home,[],3,"(3, 5, 4)",12
15288,the barbecue sizzling / winter rain,[],2,"(6, 3)",9
15289,ice melting / the shape of the branch / it fell from,['ice'],3,"(4, 6, 3)",13
15290,abandoned orchard / full of weeds / and ripe fruit,[],3,"(6, 3, 3)",12
15291,those early dates / when we walked home / in the long legged moonlight,[],3,"(6, 5, 7)",18
15292,grass in the breeze / again the beetle / spreads its torn wings,['grass'],3,"(5, 5, 4)",14
15293,so many ravens / the scarecrow looks / somewhere else,[],3,"(5, 5, 6)",16
15294,mother's worries / wind generators chop / into the fog,[],3,"(4, 6, 4)",14
15295,moon viewing / a different angle / when we kiss,[],3,"(3, 6, 3)",12
15296,feather / on a string / not for long,[],3,"(2, 3, 3)",8
15297,changing seasons / from donating to goodwill / to shopping there,[],3,"(4, 7, 5)",16
15298,cool in the basement / a wooden whisky box / of my father's tools,[],3,"(6, 6, 5)",17
15299,giacomettiacross the book a fly's / long shadow,['shadow'],2,"(9, 3)",12
15300,two or three robins / the final day / of a winter sale,[],3,"(5, 4, 5)",14
15301,deckle edged snapshots / the shadow / of a doubt,['shadow'],3,"(6, 3, 3)",12
15302,altar flowers / she knows the one / he would touch,[],3,"(4, 5, 3)",12
15303,an ordinary wake / pictures of a life / outside the box,[],3,"(6, 6, 5)",17
15304,too soon to tell / the slight swelling / of a flower bud,[],3,"(4, 4, 5)",13
15305,in the rest home lounge / the silent piano / its line of cracked keys,[],3,"(6, 5, 6)",17
15306,cemetery gate / my grandfather shouts / from the other side,[],3,"(5, 5, 5)",15
15307,uneven tree rings / stories of my father / i've never heard,[],3,"(5, 6, 5)",16
15308,point zero two / interest / daylight savings,[],3,"(4, 3, 4)",11
15309,adding vinegar / to set the dye / good friday,[],3,"(5, 4, 3)",12
15310,we idle / with the car / yellow leaves,['yellow'],3,"(3, 3, 4)",10
15311,distant train whistle / the rainy afternoon / full of stepdaughters,[],3,"(5, 6, 5)",16
15312,dark reflections / a tufted duck's / wake of light,['dark'],3,"(4, 4, 3)",11
15313,remembrance day / a nimbus of crumbs / around her teacup,[],3,"(5, 5, 5)",15
15314,thanksgiving snow / the military park / bone white,"['bone white', 'white']",3,"(4, 6, 3)",13
15315,as if this house / might drift away / cobweb moorings,[],3,"(5, 4, 4)",13
15316,gathering dusk / rooftop to treetop / the echo of crows,['dusk'],3,"(4, 5, 5)",14
15317,tract house wall / beyond it the land / belonging to rabbits,[],3,"(4, 4, 6)",14
15318,withered field / police tape tangled / in the scrub,[],3,"(4, 6, 3)",13
15319,morning after note / thawing snow exposes / unraked leaves,['snow'],3,"(5, 6, 5)",16
15320,an old reed song / my boat drifts / in that direction,[],3,"(4, 3, 5)",12
15321,rustling leaves / it's not that hard / to be born again,[],3,"(4, 4, 5)",13
15322,just past sunrise / a patch of red in the / woodpecker hole,['red'],3,"(5, 6, 4)",15
15323,old neighborhood / i inhale / my ghost,[],3,"(4, 4, 2)",10
15324,awakened / by moonlight / an old regret,[],3,"(4, 3, 4)",11
15325,ikebana / a cobweb links / man to heaven,[],3,"(4, 4, 4)",12
15326,following the source / of a winged shadow / day moon,['shadow'],3,"(6, 6, 2)",14
15327,crossing the bridge / where he jumped / the city lights,[],3,"(5, 5, 4)",14
15328,abandoned house / the broken milk box / filled with moonlight,['milk'],3,"(6, 5, 5)",16
15329,birthday's end / the hole in the fridge left / by the cake box,[],3,"(3, 7, 4)",14
15330,smell of rain / on the early wind / scurry of ants,[],3,"(3, 5, 4)",12
15331,dandelion seeds / what's the color / of your dream,['dandelion'],3,"(4, 4, 3)",11
15332,this thought / that thought / bees in the catmint,[],3,"(2, 2, 5)",9
15333,small town wedding / the groom waiting under / the apple tree,['apple'],3,"(4, 6, 4)",14
15334,flipped rock / scurry of vivid colors,[],2,"(3, 7)",10
15335,from the plane / the island turns / into a tadpole,[],3,"(4, 4, 6)",14
15336,last lilac / the love life / of my mind,[],3,"(3, 3, 3)",9
15337,contemplation garden / we decide / five minutes is enough,[],3,"(6, 4, 7)",17
15338,served with a sprig of mint / his betrothal's / sudden end,['mint'],3,"(7, 4, 3)",14
15339,a dust jacket / without its book / summer deepens,['dust'],3,"(4, 4, 4)",12
15340,my memory fails / his clothes / still hold his shape,[],3,"(5, 3, 5)",13
15341,hospital discharge / we pick our way / around puddles,[],3,"(6, 4, 4)",14
15342,qing ming / putting a heart shaped red plum / by my mother's picture,"['red', 'plum']",3,"(2, 8, 7)",17
15343,street renovation / the watchmaker's shop / stays the same,[],3,"(5, 5, 3)",13
15344,endless rain / mother's silver beginning / to tarnish,['silver'],3,"(3, 7, 3)",13
15345,first day of spring / the lingering scent / of rare books,[],3,"(4, 5, 3)",12
15346,rainy runway / the pilot's muffled voice / throughout the cabin,[],3,"(4, 7, 5)",16
15347,painting daylight / i gather yellow / from memory,['yellow'],3,"(4, 5, 4)",13
15348,every year her flowers planted / in even straight rows / the way we were raised,[],3,"(9, 5, 7)",21
15349,old couple hand in hand / the fresh brown earth / ready for turning,"['brown', 'earth']",3,"(6, 4, 5)",15
15350,maple shade / a quilt pallet spread / with paper dolls,['pallet'],3,"(4, 5, 4)",13
15351,paulownia leaf / a street child curled / amidst the squalor,[],3,"(4, 5, 5)",14
15352,sergeant's orders / soldiers cock their rifles / at the azure sky,"['azure', 'sky']",3,"(4, 6, 6)",16
15353,trumpet vine / hummingbird shadows / touch in passing,[],3,"(3, 5, 4)",12
15354,scent from the river / when there's only / the evening star,[],3,"(5, 5, 5)",15
15355,from neighbor / to neighbor / rhubarb crowns,['rhubarb'],3,"(3, 3, 3)",9
15356,midday heat / the heron's world / in a ripple,[],3,"(3, 4, 4)",11
15357,one water strider's / pause overlaps another's / afternoon deepens,['water'],3,"(6, 8, 5)",19
15358,saffron sunset / the workers in the rice field / but silhouettes,['saffron'],3,"(4, 7, 4)",15
15359,sunset reflected / in windows of the house / i no longer own,['sunset'],3,"(5, 7, 5)",17
15360,dead of winter / the worry we trade / back and forth,[],3,"(4, 6, 3)",13
15361,winter morning / wind soughing through / the subway tunnel,[],3,"(4, 4, 5)",13
15362,thickening fog / on the hillside / sheep and ghost sheep,[],3,"(4, 5, 4)",13
15363,the river churning / thru the gorgethe son who chose / the wrong career,[],3,"(5, 9, 4)",18
15364,the neighbor / sunbathing topless / magnolia blossoms,['magnolia'],3,"(3, 5, 5)",13
15365,through wind blown snow / clatter of the last train,['snow'],2,"(4, 6)",10
15366,hot house fan / spins our shadows / into the orchids,[],3,"(4, 4, 5)",13
15367,optic nerve / a scarlet cardinal / hops across,"['scarlet', 'cardinal']",3,"(4, 6, 3)",13
15368,the clank / of the flagless halyard / first spring alone,[],3,"(2, 6, 5)",13
15369,morning stiffness / another year's daffodil / from the bulb,['daffodil'],3,"(4, 7, 3)",14
15370,steam museum / the carousel horse / bares its teeth,[],3,"(3, 6, 4)",13
15371,scenic overlook / the coming and going / of flies,[],3,"(5, 5, 2)",12
15372,tinny radio / a sweat bee circles / her painted toes,[],3,"(4, 5, 4)",13
15373,sure of the wind / the red tailed hawk / alone as ever,['red'],3,"(4, 5, 6)",15
15374,a caged hamster / in candle glow / tent city,[],3,"(4, 4, 3)",11
15375,between breaths / following the white / of this butterfly,['white'],3,"(3, 6, 5)",14
15376,high noon / my own shadow / abandons me,['shadow'],3,"(2, 4, 4)",10
15377,family reunion / the click / of worry beads,[],3,"(5, 2, 4)",11
15378,heat lightning / does it show / in my eyes,[],3,"(3, 3, 3)",9
15379,pet cemetery / the wildflowers / always return,[],3,"(5, 4, 4)",13
15380,calendar filled / with doctor's appointments / fallen jacaranda,[],3,"(5, 6, 6)",17
15381,downy feathers / along the spring path / a red tail's cry,['red'],3,"(4, 5, 4)",13
15382,late spring / the dew rounder / on some leaves,[],3,"(2, 4, 4)",10
15383,mud dauber nest / filling a porch corner / my son calls home,['mud'],3,"(4, 6, 4)",14
15384,sooner in the bluer / violets dusk,[],2,"(5, 3)",8
15385,green thorns / and a few / the color of wine,"['green', 'wine']",3,"(2, 3, 5)",10
15386,april cool night / the lake with all the sounds / needed for sleep,[],3,"(4, 6, 4)",14
15387,buttercups / the haltered pony / on its back,[],3,"(3, 6, 3)",12
15388,one day / you and i / and all these flowers,[],3,"(3, 3, 6)",12
15389,day crescent moon / a witchetty grub / unearthed,[],3,"(4, 5, 3)",12
15390,boink / of an aluminum bat / red sky,['sky'],3,"(1, 7, 2)",10
15391,so many stars / the burden of / small talk,[],3,"(4, 4, 2)",10
15392,rusted railway / a quick wind unzips / the grasses,[],3,"(4, 5, 3)",12
15393,not supposed to / turn out this way / tumbleweed,['tumbleweed'],3,"(5, 4, 3)",12
15394,another crabhouse / lunch ultimatum,[],2,"(6, 5)",11
15395,vireo's song / echoing from the kiva cliff / eight centuries later,[],3,"(3, 7, 6)",16
15396,arboretum / an airplane's deep drone / over the crepe myrtle,[],3,"(4, 7, 7)",18
15397,afternoon lull / a mercy bullet / for the rabid dog,[],3,"(4, 5, 5)",14
15398,sundown / the swirl of caught fish / in the pail,[],3,"(2, 5, 3)",10
15399,sunset sail / his champagne promise / to get well,"['sunset', 'champagne']",3,"(3, 7, 3)",13
15400,evening stars / the ladder to the top / of the silo,[],3,"(4, 6, 4)",14
15401,half moon / leaving half the night / to stars,[],3,"(2, 5, 2)",9
15402,drifting fog / there was a time / i would've said yes,[],3,"(3, 5, 5)",13
15403,shadows moving / on moving shadows / october woods at dusk,['dusk'],3,"(4, 5, 6)",15
15404,freight train / towards the sunset / cows staring at cows,['sunset'],3,"(2, 5, 5)",12
15405,first falling leaves / vine tendrils sway too far from / what they could grasp,[],3,"(5, 7, 4)",16
15406,autumn equinox / the half and half / expires,[],3,"(5, 4, 3)",12
15407,old books / arranged by color / autumn days,[],3,"(2, 6, 3)",11
15408,sunset / the enflamed leaves / of poison oak,[],3,"(2, 6, 4)",12
15409,if i could / start all over / pink lady slipper,[],3,"(3, 4, 5)",12
15410,our daughter's wedding / dusting the room / she dreamed in,[],3,"(5, 4, 4)",13
15411,hotel room fan / a curl of hair goes round / and round on the floor,[],3,"(4, 6, 5)",15
15412,silkworms / cocooned / in their small voices,[],3,"(2, 3, 5)",10
15413,finding time / for the earth to feel / my bare feet,['earth'],3,"(3, 5, 3)",11
15414,june bride / the church filled / with second thoughts,[],3,"(3, 4, 4)",11
15415,close to the waterfall / the sound i become lost in,[],2,"(7, 8)",15
15416,drifting petals / a monarch butterfly / completes my dream,[],3,"(4, 6, 5)",15
15417,moving clouds / children play / hide and seek,[],3,"(3, 3, 3)",9
15418,the span / of a summer's day / daddy long legs,[],3,"(2, 5, 4)",11
15419,the silence / i once longed for / swollen moon,[],3,"(4, 5, 3)",12
15420,spanish guitar / something in me / genuflects,[],3,"(4, 5, 3)",12
15421,mountain / the story / beyond it,[],3,"(2, 3, 2)",7
15422,snowflakes falling / my thoughts gradually / compact,[],3,"(5, 5, 2)",12
15423,deep winter / she peels a tangelo / slowly,[],3,"(3, 6, 2)",11
15424,older and thinner / i'm more in touch / with my skeleton,[],3,"(5, 4, 5)",14
15425,thanksgiving visit / everything but cookies / in the cookie jar,[],3,"(5, 7, 5)",17
15426,virgin snow / an old man's feet / tingle,[],3,"(3, 4, 2)",9
15427,from here / to not there / kitchen mouse,[],3,"(3, 4, 4)",11
15428,falling snow / her deep / husky whisper,[],3,"(3, 2, 4)",9
15429,mid july / two bee harmony / in the lavender,['lavender'],3,"(3, 5, 5)",13
15430,everywhere / in the river / the footprints of fish,[],3,"(5, 4, 5)",14
15431,hidden pond / water striders / ride the last light,['water'],3,"(3, 4, 4)",11
15432,midnight hush / always the under note / of insects,['midnight'],3,"(3, 6, 3)",12
15433,shucking corn / the noise i make / when no one's home,['corn'],3,"(3, 5, 5)",13
15434,wheat equidistant / from each ocean,"['wheat', 'ocean']",2,"(5, 4)",9
15435,moonless night / only alligator eyes along / the marsh,[],3,"(3, 9, 2)",14
15436,night storm / again and again / falling into my dream,[],3,"(2, 5, 6)",13
15437,dingo call by dingo call / the terrain takes shape,[],2,"(7, 7)",14
15438,just plain hot / the stolen grocery cart / left under an oak,[],3,"(3, 7, 5)",15
15439,shorter days / spiderlings set out / for their corners,[],3,"(3, 5, 4)",12
15440,in recovery / all day a fly / between panes,[],3,"(5, 4, 4)",13
15441,police get on the ground / no snow / for us to make angels,['snow'],3,"(7, 2, 6)",15
15442,below the sheen / of starlight on the pond / a food chain,[],3,"(4, 6, 3)",13
15443,far upriver / the villages / with nothing to sell,[],3,"(4, 4, 5)",13
15444,winter solstice / commuters stand still / on the escalators,[],3,"(5, 5, 6)",16
15445,red tailed hawk / on a telephone pole / the prairie listens,['red'],3,"(4, 7, 5)",16
15446,silent on the war / my father points out / the winter stars,[],3,"(5, 5, 4)",14
15447,crows cawing / from one hollow's frost / to the next,[],3,"(3, 6, 3)",12
15448,last quarter moon / the scrape of a blade / on the whetstone,[],3,"(4, 7, 5)",16
15449,pre dawn hush / the forest / still dripping,[],3,"(3, 3, 3)",9
15450,election day / children in the park / ride the seesaw,[],3,"(4, 5, 4)",13
15451,a path of acorns / jay calls ricochet / from tree to tree,[],3,"(5, 5, 4)",14
15452,thanksgiving / having our fill / of family,[],3,"(3, 4, 4)",11
15453,funeral procession / a scruffy brown dog / marking tombstones,['brown'],3,"(6, 5, 5)",16
15454,indian summer gone / a hillside of chimneys / smoke in the rain,[],3,"(5, 7, 5)",17
15455,high beams / the backward glance / of a possum,[],3,"(2, 5, 4)",11
15456,the sound of rain / in a windowless room / deep autumn,[],3,"(4, 6, 3)",13
15457,first snowfall / mouse droppings / in my fur lined boots,[],3,"(3, 4, 6)",13
15458,winter funeral / we face our mortality / in high heels on ice,['ice'],3,"(5, 7, 6)",18
15459,snow flakes / on my scarf / turning into wool,['snow'],3,"(3, 3, 5)",11
15460,winter moon / downstream a duck breaks / from the water,['water'],3,"(3, 5, 4)",12
15461,the tilt / of the red snow shovel / spring rain,"['red', 'snow']",3,"(2, 6, 2)",10
15462,spring solitude / now and then a twig / floats under my bridge,[],3,"(5, 5, 6)",16
15463,springtime / even the pigeons / nodding their heads,[],3,"(3, 5, 4)",12
15464,deep snow / sorting a split green pea / from the yellows,"['snow', 'green', 'pea']",3,"(2, 6, 4)",12
15465,this passionless calm / afternoon sun on pastures / bright with snow melt,['snow'],3,"(5, 8, 4)",17
15466,first spring day / the mayfly steadies / for lift off,[],3,"(3, 5, 3)",11
15467,we have to talk / tight curls / of the fiddleheads,[],3,"(4, 2, 5)",11
15468,compline / bullfrogs mark / the hours,[],3,"(3, 3, 2)",8
15469,tea in painted cups / the morning wind carries / rose scent,['tea'],3,"(5, 6, 2)",13
15470,it's all / i ever wanted / fireflies,[],3,"(2, 5, 3)",10
15471,wind shift / the canola field / smelling yellow,['yellow'],3,"(2, 5, 4)",11
15472,lightning bugs / here for a moment / my childhood,[],3,"(3, 6, 3)",12
15473,the dusks / when plums start to bruise / easily,[],3,"(2, 6, 3)",11
15474,heatwave / i see more / of my neighbors,[],3,"(3, 3, 4)",10
15475,white lilies / another piece of asia / taking root,['white'],3,"(4, 8, 3)",15
15476,dusk / an empty beer can / taps the dock,['dusk'],3,"(1, 5, 3)",9
15477,end of summer / a few spots left / on the fawn,['fawn'],3,"(4, 4, 3)",11
15478,the last bite / of a red flamed peach / summer's end,"['red', 'peach']",3,"(3, 6, 3)",12
15479,the oars at rest / where i am / becomes clear,[],3,"(4, 4, 4)",12
15480,ongoing drought / the stillness / of the rope swing,[],3,"(3, 3, 4)",10
15481,meanwhile / gloved hands brush lily dust / from the hearse,['dust'],3,"(3, 6, 4)",13
15482,the deeper voices / of neighborhood boys / high summer,[],3,"(5, 5, 3)",13
15483,heat shimmers / weeds in the bolt holes / of a lost hubcap,[],3,"(3, 6, 5)",14
15484,petals falling / from apology roses,[],2,"(4, 7)",11
15485,goathead thorn / the pond drained / to its stones,[],3,"(3, 4, 4)",11
15486,hoot of a train / feet move around the stray dog / asleep on the platform,[],3,"(4, 7, 6)",17
15487,striking a match / against his boot / approaching storm,[],3,"(4, 4, 4)",12
15488,humid day / dog drool / down the window,[],3,"(3, 2, 4)",9
15489,mountain trickle / down in the valley / it gets a name,[],3,"(4, 5, 4)",13
15490,sparrows / taking in the battlefield / in little hops,[],3,"(2, 7, 4)",13
15491,summer vacation / grandmother's stories stretch from / sunrise to sunset,[],3,"(5, 7, 6)",18
15492,the butterscotch scent / of ponderosa pine / a bluebird's soft calls,"['butterscotch', 'pine']",3,"(5, 6, 5)",16
15493,next to me in the park / feeding the ducks / the unknown soldier,[],3,"(6, 4, 5)",15
15494,tornado warning / the meteorologist / continues to smile,[],3,"(5, 6, 6)",17
15495,midday / the coffee turns / to wine,['coffee'],3,"(2, 4, 2)",8
15496,creek side rope swing / learning the art / of letting go,[],3,"(4, 4, 4)",12
15497,dissolving / into the cool night air / the call of an owl,[],3,"(3, 6, 5)",14
15498,corn maze / at every turn / autumn quickens,['corn'],3,"(2, 5, 4)",11
15499,twilight in the trees / just enough / to watch a falling leaf,"['twilight', 'leaf']",3,"(5, 3, 6)",14
15500,unable to open / the door / she slammed,[],3,"(6, 2, 3)",11
15501,how long can i hold / my breath / autumn deepens,[],3,"(5, 2, 4)",11
15502,deepening autumn / the stumble comes as stumbles / seem to do,[],3,"(5, 8, 3)",16
15503,walking the rails / a whistle of wind / in my styrofoam cup,[],3,"(4, 5, 6)",15
15504,faintly / the sound of anklets / all night rain,[],3,"(2, 5, 3)",10
15505,stumping for votes / the sound of wind / on a microphone,[],3,"(5, 4, 6)",15
