0,1,2,source,0_syllables,1_syllables,2_syllables
finally only a few months ago the chautauquans of the class of,determined to call themselves the laniers in honor of,the poet and his brother,img2poems,18,15,7
lanier's next publication `florida: its scenery climate and history,was written by commission of the atlantic coast line and appeared in,to use the author's own epithet `florida' is a spiritualized guide-book,img2poems,"16,17",18,17
this may be found in professor tolman's article,cited in the `bibliography,quoted by tolman,img2poems,13,4,5
but trade saith no,and the kilns and the curt-tongued mills say go,there's plenty that can if you can't: we know,img2poems,4,9,10
it was this profound knowledge of music of course that enabled lanier,to write his work on `the science of english verse' and gave him,a technical skill in versification akin to that of tennyson,img2poems,18,14,19
but to lanier the ministration of nature was by no means passive,and we find him calling upon the leaves actively to minister to his need,and even to intercede for him to their maker,img2poems,18,20,13
a scrap worthy to be placed beside steele's to love her,is a liberal education which has often been declared,the happiest thing on the subject in the english language,img2poems,13,16,15
caedmon in the morn,a-calling angels with the cow-herd's call,that late brought up the cattle,img2poems,5,7,7
largest voice,since milton yet some register of wit,wanting,img2poems,3,10,2
moreover it should be observed that lanier frequently uses,significant compounds  a habit acquired no doubt,from his study of old english in which as in german such compounds abound,img2poems,16,14,19
thou gashed and hairy lear,whom the divine cordelia of the year,e'en pitying spring will vainly strive to cheer,img2poems,6,11,"12,13"
now in each pettiest personal sphere of dew,the summ'd morn shines complete as in the blue,big dew-drop of all heaven,img2poems,12,10,6
`individuality' l,`individuality' l,`individuality' ll,img2poems,1,1,1
wilt ask `what profit e'er a poet brings,he beareth starry stuff about his wings,to pollen thee and sting thee fertile,img2poems,10,11,9
`life and song' is the fifth of a series of seven poems,published under the general heading of `street-cries,with the two stanzas following as an introduction,img2poems,14,"10,11",14
the remaining numbers of the series are:  `remonstrance,given in this volume  `the ship of earth'  `how love looked for hell,`tyranny'  `to richard wagner'  `a song of love,img2poems,11,13,7
coleman's `corn' in `the atlantic monthly' aug,which since it consists of but four lines and is more like lanier's poem,than are the others may be quoted,img2poems,10,17,9
dumas's `corn-shucking' and `the last ear of corn,both life-like pictures of plantation life in his,`the golden day and miscellaneous poems,img2poems,8,11,11
paul hamilton hayne whose love of nature rivals lanier's,has an interesting poem entitled `muscadines' (`poems' boston,pp,img2poems,14,"12,13",1
there is in early english literature a most interesting play,entitled `mary magdalene': see pollard's `english miracle plays,where extracts are given,img2poems,"17,18",13,6
- it is precisely this evil that ruskin has in mind i take it,when he condemns the commercial text buy in the cheapest market and sell,in the dearest and when he declares that competition is the law of death,img2poems,17,18,19
for a full account of the `hautboy' and other musical instruments,mentioned in the poem see lanier's `the orchestra of to-day,cited in the `bibliography,img2poems,16,14,4
the two lines may be translated: love is the physician of life,and next to our lord himself moreover it is the way that goes,straight to heaven,img2poems,16,"16,17",4
thomas carew has several rose-moralities as `the true beauty,beginning he that loves a rosy cheek and his exquisite,`red and white roses,img2poems,"12,13",15,4
rollicking robert herrick too draws his morals now advising the virgins,to make much of time as in his `gather ye rose-buds while ye may,now preaching a rarely pathetic sermon as in `to blossoms,img2poems,19,13,15
what were ye born to be,an hour or half's delight,and so to bid good-night,img2poems,6,"6,7",5
'twas pity nature brought ye forth,merely to show your worth,and lose you quite,img2poems,8,6,4
much like this last piece in import and scarcely inferior to it in execution,is `my life is like the summer rose' of richard henry wilde,which is familiar to every one,img2poems,22,14,"9,10"
paul hamilton hayne's `the red and the white rose,is an interesting dialogue which the author concludes by making the former,an earthly queen and the latter a heaven-bound votaress,img2poems,10,"20,21",14
the fact that jonson here translates a prose love-letter of philostratus,the greek sophist may detract from the originality but not the beauty,of his poem,img2poems,16,20,4
walt whitman  r,h,wilde,img2poems,4,1,1
oh no,i caught my strains,from nature's freshest veins,img2poems,2,4,6
to lucie written on st,valentine's day  published in `from dixie,richmond va,img2poems,7,9,3
hayne paul h,: `a poet's letters to a friend' `the critic',february,img2poems,3,9,4
lind w,murdoch: `sidney lanier's library' `the daily news,july,img2poems,4,10,2
sladen douglas: `some younger american poets i,' `the independent,june,img2poems,13,4,1
ward wm,hayes: `sidney lanier on moral purpose in art,`the independent'  may,img2poems,"3,5",10,5
ward wm,hayes: `sidney lanier poet' `century magazine,april,img2poems,"3,5",8,2
west charles n,: `address before the georgia historical society,savannah december pp,img2poems,"3,4",13,7
lanier clifford: `acknowledgment to all who love s,l,`the independent'  april,img2poems,9,1,6
(no attempt has been made to be complete,this only serves,as a pointer to other materials,img2poems,9,4,11
this text has been amended to include the marshes of glynn,and some notes on the same (mostly drawn from the biography of sidney lanier,by edwin mims ) that were not in the original,img2poems,15,18,13
so shall each unjust bond be broke,each toiler gain his meet reward,and life sound forth a truer chord,img2poems,8,8,8
possibly then your meaning plain,is that your harsh and broken strain,tallies best with a world of pain,img2poems,8,8,8
the suns go on without end,the universe holds no friend,and so i come back to you,img2poems,7,7,7
the sunshine of thine eyes,whatever it touches it fills,with the life of its lambent gleam,img2poems,6,8,8
bullet in the breast,his body 's there,but poor blackmouth's gone i don't know where,img2poems,5,5,9
alas the embers old,fell and the moonlight fell above,dim shattered vapor-cold,img2poems,6,8,5
nay nothing am i,but the flight of a breath,for i am death,img2poems,"5,6",6,"4,5"
but all this show of life i keep,is but the shadow of your shine,flicker of your fire husk of your vine,img2poems,8,8,"9,10"
thou shalt protect them in thy tabernacle from,the,contradiction of tongues,img2poems,12,1,6
o squandered happiness,vain dust of misery powdering life's fresh flower,the sky was holy but the earth was not,img2poems,6,13,10
the children of the citadel conquered all,their conquerors smiting them with the pure light,that shone in that strong city fortified,img2poems,11,11,10
the world's best poetry,vol,x,img2poems,6,1,1
by,john r,howard,img2poems,1,2,2
in his introduction to ward's admirable selections from the english,poets matthew arnold critic and poet to whom allusion has already,been made says,img2poems,"18,19",20,3
the future of poetry is immense because in poetry where it is,worthy of its high destinies our race as time goes on will find an,ever surer and surer stay,img2poems,19,"17,18",8
but if we conceive thus highly of poetry we must also set our,standard for poetry high since poetry to be capable of fulfilling,such high destinies must be poetry of a high order of excellence,img2poems,"18,19",20,19
we venture to say on the contrary paradoxical as the remark may,appear that no poet has ever had to struggle with more unfavorable,circumstances than milton,img2poems,20,20,7
the poem was published in  so that for at least twenty-six years,the poet was utilizing all the available resources of civilization and,scholarship to make himself more fit,img2poems,15,24,9
'blessings be on them and eternal praise,the poets who on earth have made us heirs,of truth and pure delight in heavenly lays,img2poems,10,"10,11",11
by no means then to attempt a new definition where so many more,competent have failed we may nevertheless gather some points of,certainty from the opinions cited above,img2poems,18,16,12
absence,farewell,parting,img2poems,2,2,2
advice,instruction,wisdom,img2poems,2,3,2
angel,deeds,spirits,img2poems,2,1,2
anthology,poet the,poetry,img2poems,4,3,3
authority,power,royalty,img2poems,4,2,3
baby,childhood,mother,img2poems,2,2,2
bell,boating,sabbath,img2poems,1,2,2
bible,god,jesus christ,img2poems,2,1,3
blessing,god,gratitude,img2poems,2,1,3
blush,face,kiss,img2poems,1,1,1
borrowing,care,gratitude,img2poems,3,1,3
christmas,home,jesus christ,img2poems,2,1,3
custom,change,fashion,img2poems,2,1,2
deeds,action,labor,img2poems,1,2,2
dew,morning,spring,img2poems,1,2,"1,2"
dream,imagination,vision,img2poems,1,5,2
drink,waters,wine,img2poems,1,2,1
duty,action,deeds,img2poems,2,2,1
eye,admiration,face,img2poems,1,4,1
farewell,absence,parting,img2poems,2,2,2
fault,conscience,sin,img2poems,1,2,1
forgive,forget,nobility,img2poems,2,2,4
ghost,apparition,spirits,img2poems,1,4,2
gratitude,help,ingratitude,img2poems,3,1,4
grave the,death,mourning,img2poems,2,1,2
hair,appearance,compliment,img2poems,1,3,3
horsemanship,animals,hunting,img2poems,3,3,2
humility,contentment,pride,img2poems,4,3,1
hunting,animals,horsemanship,img2poems,2,3,3
idleness,labor,rest,img2poems,3,2,1
illness,medicine,pain,img2poems,2,3,1
ingratitude,gratitude,help,img2poems,4,3,1
innocence,virtue,youth,img2poems,3,2,1
invention,mind,science,img2poems,3,1,2
jewel,adornment,dress,img2poems,"1,2",3,1
kiss,love,romance,img2poems,1,1,2
medicine,illness,pain,img2poems,3,2,1
merriment,care,rural life,img2poems,3,1,3
moderation,contentment,humility,img2poems,4,3,4
nobility,greatness,virtue,img2poems,4,2,2
pain,illness,medicine,img2poems,1,2,3
parting,absence,farewell,img2poems,2,2,2
peace,quarrel,war,img2poems,1,2,1
perfection,beauty,criticism,img2poems,3,2,4
personal,bacon lord,burke e,img2poems,3,3,2
power,authority,state-craft,img2poems,2,4,1
prayer,aspiration,god,img2poems,"1,2",4,1
progress,ambition,man,img2poems,2,3,1
promise,fidelity,sincerity,img2poems,2,4,4
quarrel,anger,jealousy,img2poems,2,2,3
rod the,boy,school,img2poems,2,1,1
smile,merriment,sigh,img2poems,1,3,1
solitude,night,society,img2poems,3,1,4
stage the,oratory,speech,img2poems,2,4,1
temptation,conscience,sin,img2poems,3,2,1
variety,order,taste,img2poems,4,2,1
john dryden,from an engraving after a painting by hudson,in trinity college cambridge england,img2poems,3,13,10
't is said that absence conquers love,but oh,believe it not,img2poems,9,2,4
what old december's bareness everywhere,sonnet xcvii,shakespeare,img2poems,10,3,2
amphictrion,j,dryden,img2poems,4,1,2
what,keep a week away,seven days and nights,img2poems,1,5,5
eightscore eight hours,and lovers' absent hours,more tedious than the dial eightscore times,img2poems,"4,5","6,7","10,11"
a native grace,sat fair-proportioned in her polished limbs,veiled in a simple robe their best attire,img2poems,4,7,11
beyond the pomp of dress for loveliness,needs not the foreign aid of ornament,but is when unadorned adorned the most,img2poems,10,10,10
the seasons: autumn,j,thomson,img2poems,5,1,2
calamity is man's true touchstone,four plays in one: the triumph of honor sc,beaumont and fletcher,img2poems,9,11,5
king lear act iv,sc,shakespeare,img2poems,4,1,2
o sons of earth,attempt ye still to rise,by mountains piled on mountains to the skies,img2poems,4,6,10
oh sons of earth,attempt ye still to rise,by mountains piled on mountains to the skies,img2poems,4,6,10
around our pillows golden ladders rise,and up and down the skies,the angels come and go the messengers of god,img2poems,"10,11",6,12
be advised,heat not a furnace for your foe so hot,that it do singe yourself: we may outrun,img2poems,3,10,10
save a proud rider on so proud a back,venus and adonis,shakespeare,img2poems,10,6,2
no no,from out the forest prance,a trampling troop i see them come,img2poems,2,6,8
the seasons: summer,j,thomson,img2poems,5,1,2
a poor sequestered stag,that from the hunter's aim had ta'en a hurt,did come to languish,img2poems,6,11,5
assembling wolves in raging troops descend,and pouring o'er the country bear along,keen as the north wind sweeps the glossy snows,img2poems,"10,11",11,10
the ring,a,tennyson,img2poems,2,1,3
the lady of the lake canto i,sir w,scott,img2poems,9,4,1
mislike me not for my complexion,the shadowed livery of the burnished sun,to whom i am a neighbor and near bred,img2poems,9,11,"10,11"
hamlet act iii,sc,shakespeare,img2poems,5,1,2
shut shut the door good john,fatigued i said,tie up the knocker say i'm sick i'm dead,img2poems,6,4,10
soft is the strain when zephyr gently blows,and the smooth stream in smoother numbers flows,but when loud surges lash the sounding shore,img2poems,10,10,10
then at the last and only couplet fraught,with some unmeaning thing they call a thought,a needless alexandrine ends the song,img2poems,10,10,10
the hair she means to have is gold,her eyes are blue she's twelve weeks old,plump are her fists and pinky,img2poems,8,8,7
now the storm begins to lower,iron sleet of arrowy shower,hurtles in the darkened air,img2poems,8,9,7
by heaven,it is a splendid sight to see,their rival scarfs of mixed embroidery,img2poems,3,8,10
paradise lost bk,i,milton,img2poems,5,1,2
h,w,longfellow,img2poems,1,3,3
my book and heart,must never part,new england primer,img2poems,4,4,5
do you ne'er think who made them and who taught,the dialect they speak where melodies,alone are the interpreters of thought,img2poems,10,10,10
whose household words are songs in many keys,sweeter than instrument of man e'er caught,tales of a wayside inn: the poet's tale,img2poems,10,11,10
the seasons: spring,j,thomson,img2poems,"4,5",1,2
the blast is chill yet in the upper sky,thou still canst find the color of thy wing,the hue of may,img2poems,10,10,4
warbler why speed thy southern flight,ah why,thou too whose song first told us of the spring,img2poems,8,2,"10,11,12"
bird of the broad and sweeping wing,thy home is high in heaven,where wide the storms their banners fling,img2poems,8,7,8
a melancholy bird,oh,idle thought,img2poems,6,1,3
o 'tis the ravished nightingale,jug jug jug jug tereu she cries,and still her woes at midnight rise,img2poems,8,8,8
none but the lark so shrill and clear,now at heaven's gate she claps her wings,the morn not waking till she sings,img2poems,8,9,8
in the nine heavens are eight paradises,where is the ninth one,in the human breast,img2poems,11,5,5
golden volumes,richest treasures,objects of delicious pleasures,img2poems,4,4,8
ye happy mixtures of more happy days,beppo,lord byron,img2poems,10,2,3
minced pies and plum porridge good ale and strong beer,with pig goose and capon the best that may be,so well doth the weather and our stomachs agree,img2poems,11,11,"12,13"
but those on whose tables no victuals appear,o may they keep lent all the rest of the year,poor robin's almanack,img2poems,11,11,6
lord of the worlds above,how pleasant and how fair,the dwellings of thy love,img2poems,6,6,6
paradise regained bk,iv,milton,img2poems,6,1,2
where venice sate in state throned on her hundred isles,childe harold canto iv,lord byron,img2poems,12,6,3
o rome,my country,city of the soul,img2poems,2,3,5
yonder cloud,that rises upward always higher,and onward drags a laboring breast,img2poems,3,9,9
j,g,whittier,img2poems,1,1,3
love is indestructible,its holy flame forever burneth,from heaven it came to heaven returneth,img2poems,7,9,11
doubt thou the stars are fire,doubt that the sun doth move,doubt truth to be a liar,img2poems,"6,7",6,7
there are no tricks in plain and simple faith,sc,shakespeare,img2poems,10,1,2
with good and gentle-humored hearts,i choose to chat where'er i come,whate'er the subject be that starts,img2poems,6,9,9
and now our modern yankee sees,nor omens spells nor mysteries,and naught above below around,img2poems,"8,9",8,8
so much the better juan said for them,don juan,lord byron,img2poems,9,2,3
false wizard avaunt,i have marshalled my clan,their swords are a thousand their bosoms are one,img2poems,5,6,11
he,that kills himself to avoid misery fears it,and at the best shows but a bastard valor,img2poems,1,12,11
blest power of sunshine,genial day,what balm what life is in thy ray,img2poems,6,3,8
othello act v,sc,shakespeare,img2poems,5,1,2
macbeth act iii,sc,shakespeare,img2poems,5,1,2
saul xviii,r,browning,img2poems,3,1,2
all is not lost the unconquerable will,and study of revenge immortal hate,and courage never to submit or yield,img2poems,11,10,10
j,r,lowell,img2poems,1,1,2
of no distemper of no blast he died,but fell like autumn fruit that mellowed long,even wondered at because he dropt no sooner,img2poems,10,10,12
christ the lord is risen to-day,c,wesley,img2poems,7,1,2
easter,g,herbert,img2poems,2,1,2
a blue eye is a true eye,mysterious is a dark one,which flashes like a spark-sun,img2poems,7,8,6
[footnote a: cromwell once when his troops were about crossing a,river to attack the enemy concluded an address with these words: put,your trust in god but mind to keep your powder dry,img2poems,13,19,12
ah,who can tell how hard it is to climb,the steep where fame's proud temple shines afar,img2poems,1,9,10
ye rigid ploughmen,bear in mind,your labor is for future hours,img2poems,5,3,"8,9"
advance,spare not,nor look behind,img2poems,2,2,4
man is his own star and the soul that can,render an honest and a perfect man,commands all light all influence all fate,img2poems,10,10,10
roses have thorns and silver fountains mud,clouds and eclipses stain both moon and sun,and loathsome canker lives in sweetest bud,img2poems,10,10,10
all men make faults,sonnet xxxv,shakespeare,img2poems,4,5,2
lady macbeth,letting i dare not wait upon i would,like the poor cat i' the adage,img2poems,4,10,8
amoretti sonnet xxvi,e,spenser,img2poems,7,1,2
ring-ting,i wish i were a primrose,a bright yellow primrose blowing in the spring,img2poems,1,7,"11,12"
whose modest form so delicately fine,was nursed in whirling storms,and cradled in the winds,img2poems,10,6,6
the winter's tale act iv,sc,shakespeare,img2poems,6,1,2
forgotten,no we never do forget,we let the years go wash them clean with tears,img2poems,3,7,10
the more we know the better we forgive,who'er feels deeply feels for all who live,corinne,img2poems,10,10,2
are there not dear michal,two points in the adventure of the diver,one when a beggar he prepares to plunge,img2poems,6,11,10
no,freedom has a thousand charms to show,that slaves howe'er contented never know,img2poems,1,9,11
hamlet act i,sc,shakespeare,img2poems,4,1,2
macbeth,thou canst not say i did it never shake,thy gory locks at me,img2poems,2,10,6
this is the very painting of your fear,this is the air-drawn dagger which you said,led you to duncan,img2poems,10,9,5
avaunt,and quit my sight,let the earth hide thee,img2poems,2,4,5
thy bones are marrowless thy blood is cold,thou hast no speculation in those eyes,which thou dost glare with,img2poems,10,10,5
inspiring god,who boundless spirit all,and unremitting energy pervades,img2poems,"4,5",6,10
a deity believed is joy begun,a deity adored is joy advanced,a deity beloved is joy matured,img2poems,10,10,"10,11"
my theme,my inspiration,and my crown,img2poems,2,5,3
now stir the fire and close the shutters fast,let fall the curtains wheel the sofa round,and while the bubbling and loud hissing urn,img2poems,"10,11",10,"10,11"
hope,of all ills that men endure,the only cheap and universal cure,img2poems,1,7,10
hudibras,s,butler,img2poems,3,1,2
an evil soul producing holy witness,is like a villain with a smiling cheek,a goodly apple rotten at the heart,img2poems,11,10,10
the castle of indolence canto i,j,thomson,img2poems,10,1,2
of its own beauty is the mind diseased,and fevers into false creation: where,where are the forms the sculptor's soul hath seized,img2poems,10,10,10
horatio,oh,where my lord,img2poems,3,1,3
oh,that the memories which survive us here,were half so lovely as these wings of thine,img2poems,1,"10,11",10
electric telegraphs printing gas,tobacco balloons and steam,are little events that have come to pass,img2poems,9,7,10
o beware my lord of jealousy,it is the green-eyed monster which doth mock,the meat it feeds on,img2poems,9,9,5
or captain jewels in the carcanet,sonnet iii,shakespeare,img2poems,"9,10",4,2
'tis pleasant through the loop-holes of retreat,to peep at such a world to see the stir,of the great babel and not feel the crowd,img2poems,9,10,10
how many a rustic milton has passed by,stifling the speechless longings of his heart,in unremitting drudgery and care,img2poems,11,"10,11",10
macduff,i know this is a joyful trouble to you,but yet 'tis one,img2poems,2,11,4
between two hawks which flies the higher pitch,between two dogs which hath the deeper mouth,between two horses which doth bear him best,img2poems,10,10,10
explained the matter and would win the cause,dame justice weighing long the doubtful right,takes opens swallows it before their sight,img2poems,10,10,10
biron,what is the end of study,let me know,img2poems,2,7,3
a man's ingress into the world is naked and bare,his progress through the world is trouble and care,and lastly his egress out of the world is nobody knows where,img2poems,13,11,16
it is not virtue wisdom valor wit,strength comeliness of shape or amplest merit,that woman's love can win or long inherit,img2poems,10,12,11
two souls with but a single thought,two hearts that beat as one,ingomar the barbarian act ii,img2poems,8,6,10
von m,bellinghausen,lovell's trans,img2poems,2,4,3
he was a lover of the good old school,who still become more constant as they cool,beppo canto xxxiv lord byron,img2poems,10,10,8
thou pendulum betwixt a smile and tear,childe harold canto iv,lord byron,img2poems,10,6,3
epitaph on gay,a,pope,img2poems,5,1,1
and pure religion breathing household laws,written in london september  w,wordsworth,img2poems,10,11,2
true love is but a humble low-born thing,and hath its food served up in earthen ware,it is a thing to walk with hand in hand,img2poems,9,10,10
my dear i was the first who came away,don juan canto i,lord byron,img2poems,10,5,3
this house is to be let for life or years,her rent is sorrow and her income tears,cupid 't has long stood void her bills make known,img2poems,10,10,11
much ado about nothing act iv,sc,shakespeare,img2poems,9,1,2
while memory holds a seat,in this distracted globe,remember thee,img2poems,7,6,4
a merrier man,within the limit of becoming mirth,i never spent an hour's talk withal,img2poems,5,10,10
scatter in rich exuberance the seed,whose fruit is living bread and all your need,will god supply his harvest ye shall share,img2poems,10,10,10
these violent delights have violent ends,and in their triumph die like fire and powder,which as they kiss consume,img2poems,"9,10,11","11,12",6
see yonder fire,it is the moon,slow rising o'er the eastern hill,img2poems,"4,5",4,9
mother of light,how fairly dost thou go,over those hoary crests divinely led,img2poems,4,6,10
manfred act iii,sc,lord byron,img2poems,5,1,3
s,c,woolsey,img2poems,1,1,2
who ran to help me when i fell,and would some pretty story tell,or kiss the place to make it well,img2poems,8,8,8
my mother,my mother,jane taylor,img2poems,3,3,3
two voices are there one is of the sea,one of the mountains each a mighty voice,thought of a briton on the subjugation of switzerland,img2poems,10,10,15
eternity mourns that,'tis an ill cure,for life's worst ills to have no time to feel them,img2poems,6,4,11
the symphony,s,lanter,img2poems,4,1,2
sure something holy lodges in that breast,and with these raptures moves the vocal air,to testify his hidden residence,img2poems,10,10,10
o wild and wondrous midnight,there is a might in thee,almost like spirit be,img2poems,7,6,6
confusion heard his voice and wild uproar,stood ruled stood vast infinitude confined,till at his second bidding darkness fled,img2poems,10,10,10
therefore our everlasting farewell take,for ever and for ever farewell,cassius,img2poems,"10,11",9,3
the inextinguishable spark which fires,the soul of patriots,leonidas,img2poems,"10,11",6,4
letter to ben jonson,f,beaumont,img2poems,6,1,2
elegy on cowley,sir j,denham,img2poems,6,2,2
[lord president of the council to king james i,parliament was,dissolved march  and he died march,img2poems,11,4,7
killed with report that old man eloquent,to the lady margaret ley,milton,img2poems,10,"8,7",2
nor second he that rode sublime,upon the seraph-wings of ecstasy,the secrets of the abyss to spy,img2poems,8,9,9
here lies our good edmund whose genius was such,we scarcely can praise it or blame it too much,who born for the universe narrowed his mind,img2poems,"11,12",11,11
lines on the death of sheridan,t,moore,img2poems,8,1,1
and broke the die in moulding sheridan,monody on the death of sheridan,lord byron,img2poems,10,10,3
ah,who shall lift that wand of magic power,and the lost clew regain,img2poems,1,10,6
there comes poe with his raven like barnaby rudge,three-fifths of him genius and two-fifths sheer fudge,who talks like a book of iambs and pentameters,img2poems,12,9,13
from his chaste muse employed her heaven-taught lyre,none but the noblest passions to inspire,not one immoral one corrupted thought,img2poems,10,10,10
one line which dying he could wish to blot,prologue to thomson's coriolanus,lord lyttelton,img2poems,10,10,4
bright pledge of peace and sunshine,the sure tie,of thy lord's hand the object of his eye,img2poems,7,3,10
calmly he looked on either life and here,saw nothing to regret or there to fear,from nature's temp'rate feast rose satisfied,img2poems,10,10,10
after my death i wish no other herald,no other speaker of my living actions,to keep mine honor from corruption,img2poems,11,11,9
o god,horatio what a wounded name,things standing thus unknown shall live behind me,img2poems,2,8,11
it mends their morals never mind the pain,don juan canto ii,lord byron,img2poems,10,5,3
romances paint at full length people's wooings,but only give a bust of marriages,for no one cares for matrimonial cooings,img2poems,11,10,12
lady m,w,montagu,img2poems,3,3,3
unpack my heart with words,and fall a cursing like a very drab,a scullion,img2poems,6,10,3
vii,e,spenser,img2poems,1,1,2
the tempest act i,sc,shakespeare,img2poems,5,1,2
sheltered in a golden coating,o'er the dreamy listless haze,white and dainty cloudlets floating,img2poems,8,8,8
let winter come,let polar spirits sweep,the darkening world and tempest-troubled deep,img2poems,4,6,"8,9"
ovid,trans,of addison,img2poems,2,1,4
othello act iv,sc,shakespeare,img2poems,5,1,2
and seems to dare the elements to strife,the corsair canto i,lord byron,img2poems,10,6,3
formed of two mighty tribes the bores and bored,don juan canto xi,lord byron,img2poems,10,5,3
but through adventurous war,urged his active star,a horatian ode: upon cromwell's return from ireland,img2poems,7,5,"14,15"
o now forever,farewell the tranquil mind,farewell content,img2poems,5,6,4
farewell the plumed troop and the big wars,that make ambition virtue,o farewell,img2poems,9,7,3
the spirit-stirring drum the ear-piercing fife,the royal banner and all quality,pride pomp and circumstance of glorious war,img2poems,7,10,11
o,lost to virtue lost to manly thought,lost to the noble sallies of the soul,img2poems,1,9,10
o ignorant poor man,what dost thou bear,locked up within the casket of thy breast,img2poems,6,4,10
that moulds another's weakness to its will,the corsair,lord byron,img2poems,10,3,3
timon of athens act iv,sc,shakespeare,img2poems,7,1,2
the storm is up and all is on the hazard,sc,shakespeare,img2poems,11,1,2
in the lexicon of youth which fate reserves,for a bright manhood there is no such word,as fail,img2poems,11,10,2
in my school-days when i had lost one shaft,i shot his fellow of the self-same flight,the self-same way with more advised watch,img2poems,9,9,8
o thou that with surpassing glory crowned,look'st from thy sole dominion like the god,of this new world,img2poems,10,10,4
oh,who the exquisite delights can tell,the joy which mutual confidence imparts,img2poems,1,9,11
love half regrets to kiss it dry,bride of abydos,lord byron,img2poems,8,5,3
the busy have no time for tears,the two foscari act iv,lord byron,img2poems,8,7,3
in adam's fall,we sinne'd all,new england primer,img2poems,4,4,5
such often like the tube they so admire,important triflers,have more smoke than fire,img2poems,10,6,"5,6"
to him 't was meat and drink and physic,to see the friendly vapor,curl round his midnight taper,img2poems,10,7,7
enter,the pavement carpeted with leaves,gives back a softened echo to thy tread,img2poems,2,8,10
pretty,in amber to observe the forms,of hair or straws or dirt or grubs or worms,img2poems,2,8,10
fierce fiery warriors fought upon the clouds,in ranks and squadrons and right form of war,which drizzled blood upon the capitol,img2poems,"11,12",10,10
lochiel lochiel,beware of the day,when the lowlands shall meet thee in battle array,img2poems,4,5,12
o war,thou hast thy fierce delight,thy gleams of joy intensely bright,img2poems,2,6,8
clouds from the thunder-voiced cannon enveil me,lightnings are flashing death's thick darts assail me,ruler of battles i call on thee,img2poems,10,11,9
he makes a solitude and calls it peace,the bride of abydos canto ii,lord byron,img2poems,10,9,3
thou hastenest down between the hills to meet me at the road,the secret scarcely lisping of thy beautiful abode,among the pines and mosses of yonder shadowy height,img2poems,15,14,14
where thou dost sparkle into song and fill the woods with light,friend brook,lucy larcom,img2poems,14,2,4
and tracks thee dancing down thy water breaks,brook,whose society the poet seeks,img2poems,10,1,9
how widely its agencies vary,to save to ruin to curse to bless,as even its minted coins express,img2poems,9,9,9
of earthly goods the best is a good wife,a bad the bitterest curse of human life,simonides,img2poems,10,11,3
o when we swallow down,intoxicating wine we drink damnation,naked we stand the sport of mocking fiends,img2poems,6,11,10
praise of women,c,mackay,img2poems,4,1,2
o life,how pleasant in thy morning,young fancy's rays the hills adorning,img2poems,2,7,9
posting date: november,release date: december,first posted: march,img2poems,6,6,4
upon the enchanted ladder of his rhymes,round after round and patiently,the poet ever upward climbs,img2poems,11,8,8
o hearken,thus the rose-spray listening,with what weird music sweet these full hearts ring,img2poems,4,"5,6",10
daughter of my nobler hope,that dying gave thee birth,sweet melancholy,img2poems,7,6,5
his liquid music from the brink,of some cloud-fountain seemed to sink,built in the blue-domed sky,img2poems,8,6,5
now sparkles the air all steely-bright,with drops swept down in arrow-flight,keen quivering lines,img2poems,8,7,5
ceased in a breath the showery sound,and teasingly now as i look around,sweet sunlight shines,img2poems,9,10,4
how welcome is its delicate overture,at evening when the glowing-moistur'd west,seals all things with cool promise of night's rest,img2poems,11,8,10
and still my soul is fain,to know the secret of that yearning,which in thine utterance i hear returning,img2poems,6,9,11
so however thou hast wrought,this wild joy on heart and brain,it is better left untaught,img2poems,7,7,7
take thou up the song again,there is nothing sad afloat,on the tide that swells thy throat,img2poems,7,7,7
oh sweet elixir in the blood,that makes us live with those long dead,or hope for those that shall be bred,img2poems,8,"8,9",8
veiled in visionary haze,behold the ethereal autumn days,draw near again,img2poems,7,10,4
fair dreams farewell,so in life's stir and pride,you fade and leave the treasure of a tear,img2poems,4,6,10
hark to that faint ethereal twang,that from the bosom of the breeze,has caught its rise and fall: there rang,img2poems,9,8,8
leave me my tearless sad refrain,when in the pine-top wakes the gale,that breathes of coming rain,img2poems,9,7,6
at first the wind's old wayward will,drew forth the tearless sad refrain,that ceased and all was still,img2poems,8,9,6
or aught besides that smites that string,since then so close it knit our fates,what time the bird took wing,img2poems,8,"8,9",6
scenes that i love to me always remain,beautiful whether under summer's sun,beheld or storm-dark stricken across with rain,img2poems,10,10,10
the breezy forests sigh in moonlit trances,and the full-hearted poet waking fancies,the smiling hills will break in laughter soon,img2poems,11,9,10
the wounded died ere i came up,my cup was still untasted,untasted,img2poems,8,7,3
't is not of these i would complain,with these i were contented,contented,img2poems,9,7,3
dost thou remember love those hours,shot o'er with random rainy showers,when the bold sun would woo coy may,img2poems,"8,9",10,8
not always what they seek they find,when groping through dim-lighted natures,fond lovers look for old ideal statures,img2poems,8,7,10
oh can you spy the ancient town,the granite hills so hard and gray,that rib the land behind the bay,img2poems,8,8,8
three years,is it so long that we,have lived upon the lonely sea,img2poems,2,6,8
and for this sweetness walt her lover sought,to win her wooed her here his heart full-fraught,with fragrance of her being and gained his plea,img2poems,10,9,11
at last she heard no more,the neighbors said,that walt had married faithless or was dead,img2poems,6,4,10
so circling years went by and in her face,slow melancholy wrought a tempered grace,of early joy with sorrow's rich alloy,img2poems,"10,11",10,10
